Имя,Дата рождения,Дата смерти
Генри Кавилл,05.05.1983,-
Бен Аффлек,15.08.1972,-
Галь Гадот,30.04.1985,-
Эми Адамс,20.08.1974,-
Джесси Айзенберг,05.10.1983,-
Джереми Айронс,19.09.1948,-
Дайан Лэйн,22.01.1965,-
Лоренс Фишбёрн,30.07.1961,-
Холли Хантер,20.03.1958,-
Скут МакНэри,11.11.1977,-
Майкл Шеннон,07.08.1974,-
Рассел Кроу,07.04.1964,-
Кевин Костнер,18.01.1955,-
Антье Трауэ,18.01.1981,-
Кристофер Мелони,02.04.1961,-
Гарри Дж. Ленникс,16.11.1964,-
Тим Роббинс,16.10.1958,-
Морган Фриман,01.06.1937,-
Боб Гантон,15.11.1945,-
Уильям Сэдлер,13.04.1950,-
Клэнси Браун,05.01.1959,-
Гил Беллоуз,28.06.1967,-
Марк Ролстон,07.12.1956,-
Джеймс Уитмор,01.10.1921,06.02.2009
Джеффри ДеМанн,25.04.1947,-
Ларри Бранденбург,03.05.1948,-
Кристиан Бэйл,30.01.1974,-
Хит Леджер,04.04.1979,22.01.2008
Аарон Экхарт,12.03.1968,-
Мэгги Джилленхол,16.11.1977,-
Гари Олдман,21.03.1958,-
Майкл Кейн,14.03.1933,-
Чинь Хань,27.11.1969,-
Нестор Карбонелл,01.12.1967,-
Эрик Робертс,18.04.1956,-
Леонардо ДиКаприо,11.11.1974,-
Джозеф Гордон-Левитт,17.02.1981,-
Эллиот Пейдж,21.02.1987,-
Том Харди,15.09.1977,-
Кэн Ватанабэ,21.10.1959,-
Дилип Рао,29.07.1973,-
Киллиан Мёрфи,25.05.1976,-
Том Беренджер,31.05.1949,-
Марион Котийяр,30.09.1975,-
Пит Постлетуэйт,07.02.1946,02.01.2011
Роберт Дауни мл.,04.04.1965,-
Джефф Бриджес,04.12.1949,-
Гвинет Пэлтроу,27.09.1972,-
Терренс Ховард,11.03.1969,-
Лесли Бибб,17.11.1974,-
Шон Тоуб,06.04.1963,-
Фаран Таир,16.02.1963,-
Кларк Грегг,02.04.1962,-
Джон Фавро,19.10.1966,-
Саид Бадрия,04.02.1957,-
Брэд Питт,18.12.1963,-
Марго Робби,02.07.1990,-
Эмиль Хирш,13.03.1985,-
Маргарет Куэлли,23.10.1994,-
Тимоти Олифант,20.05.1968,-
Джулия Баттерз,15.04.2009,-
Остин Батлер,17.08.1991,-
Дакота Фаннинг,23.02.1994,-
Брюс Дерн,04.06.1936,-
Крис Хемсворт,11.08.1983,-
Марк Руффало,22.11.1967,-
Крис Эванс,13.06.1981,-
Скарлетт Йоханссон,22.11.1984,-
Дон Чидл,29.11.1964,-
Бенедикт Камбербэтч,19.07.1976,-
Том Холланд,01.06.1996,-
Чедвик Боузман,29.11.1976,28.08.2020
Зои Салдана,19.06.1978,-
Джереми Реннер,07.01.1971,-
Пол Радд,06.04.1969,-
Бри Ларсон,01.10.1989,-
Карен Гиллан,28.11.1987,-
Майкл Китон,05.09.1951,-
Мариса Томей,04.12.1964,-
Джейкоб Баталон,09.10.1996,-
Зендея,01.09.1996,-
Лора Хэрриер,28.03.1990,-
Тони Револори,28.04.1996,-
Дональд Гловер,25.09.1983,-
Сэмюэл Л. Джексон,21.12.1948,-
Джейк Джилленхол,19.12.1980,-
Коби Смолдерс,03.04.1982,-
Энгаури Райс,01.01.2001,-
Юэн Макгрегор,31.03.1971,-
Натали Портман,09.06.1981,-
Хейден Кристенсен,19.04.1981,-
Иен Макдермид,11.08.1944,-
Джимми Смитс,09.07.1955,-
Фрэнк Оз,25.05.1944,-
Энтони Дэниелс,21.02.1946,-
Кристофер Ли,27.05.1922,07.06.2015
Киша Касл-Хьюз,24.03.1990,-
Марк Хэмилл,25.09.1951,-
Харрисон Форд,13.07.1942,-
Кэрри Фишер,21.10.1956,27.12.2016
Питер Кушинг,26.05.1913,11.08.1994
Алек Гиннесс,02.04.1914,05.08.2000
Кенни Бейкер,24.08.1934,13.08.2016
Питер Мейхью,19.05.1944,30.04.2019
Дэвид Праус,01.07.1935,28.11.2020
Фил Браун,30.04.1916,09.02.2006
Райан Гослинг,12.11.1980,-
Ана де Армас,30.04.1988,-
Сильвия Хукс,01.06.1983,-
Робин Райт,08.04.1966,-
Маккензи Дэвис,01.04.1987,-
Карла Юри,02.01.1985,-
